method,summary,rouge1,rouge2,rougeL,bleu,meteor,bertscore
extractive,"Trump vows to end 'American carnage' Trump's angry call to arms Full text of Trump's inauguration speech It's unclear whether the president-elect actually wrote the speech himself, but the content was pure Trump: the same populist message that resonated throughout the primaries and the campaign. ""Today, we are not merely transferring power from one administration to another, or from one party to another, but we are transferring power from Washington, DC, and giving it back to you, the people,"" he said at the beginning of his remarks. Trump spoke of a country whose citizens had too long been ignored by the coastal elite: ""Their victories have not been your victories. Trump said the country was poised to ""free the earth from the miseries of disease, and to harness the energies, industries and technologies of tomorrow"", as well as ""eradicate from the face of the Earth"" radical Islamic terrorism. Writer Ben Shapiro expressed doubt about Trump's plans to both take power away from DC, and use his position as President to steer trade and create jobs. ""After three months in which Trump is president and it's still the same Washington, that speech is going to seem wildly imprudent,"" wrote Noah Rothman, assistant editor at Commentary Magazine.",0.09401709401709402,0.008620689655172415,0.05128205128205128,0.0028498724116873307,0.07444168734491316,0.024738289415836334
hybrid,"Trump's speech to the president-elect on Tuesday was a ""serious 'war' for the country, and a ""serious 'war' for the country.""",0.30434782608695654,0.0,0.17391304347826086,0.015708968271493463,0.0684931506849315,0.12119670957326889
abstractive,"Donald Trump's inaugural speech was a primal scream aimed at Washington, DC, and a primal scream aimed at Washington, DC.",0.31818181818181823,0.09523809523809525,0.1818181818181818,0.014029963682659206,0.06880733944954126,0.2956908643245697
extractive,"Alun Davies said threatening legal action ""sounds like the last breath before you're thrown out of the pub"". Following Donald Trump's comments during last week's trade visit that the NHS would be ""on the table"" in any future trade talks between the UK and the USA, Eluned Morgan said there was ""absolutely no prospect whatsoever of us allowing the Welsh NHS to be part of any negotiation."" The US President then rowed back on his initial comments following criticism from a number of MPs. ""They [the UK Government] should not be concluding any trade agreements without consulting us where we have the power."" Ms Morgan explained that UK and Welsh government officials are working on an agreement or 'concordat' for how future trade deals are negotiated.",0.22784810126582278,0.08974358974358974,0.11392405063291139,0.010396790116448751,0.24785107841586249,0.1869332194328308
hybrid,"The US President has said he is ""absolutely no prospect whatsoever"" of allowing the Welsh NHS to be part of any negotiations between the UK and the USA.",0.28070175438596495,0.10909090909090909,0.17543859649122806,0.03292564802613654,0.14753940792003076,0.33516058325767517
abstractive,"The UK government has said it is ""extremely unlikely"" to stop negotiating trade agreements with the UK and the US, despite a veto over Brexit.",0.3703703703703704,0.07692307692307691,0.25925925925925924,0.03567386627628598,0.20417853751187087,0.341927170753479
extractive,"'Felt sick' It was sent to nearly 300 undergraduates, including Ms Baynes, a former editor of student newspaper Concrete. ""I felt sick at seeing my personal situation written in a spreadsheet, and then seemingly sent to everyone on my course,"" she said. There are people I know and I feel so awful for them and can't imagine how they are feeling."" Theo Antoniou Phillips, UEA Students' Union undergraduate education officer, said: ""This is a shocking and utterly unacceptable data breach that should never have happened."" Jo Swo, the union's welfare, community and diversity officer, said: ""Given the university is supposed to be making mental health a priority, this is a real slap in the face to students who have sought support."" In a statement, a UEA spokeswoman said: ""An email was mistakenly sent to 298 American Studies undergraduates this morning containing details of 42 students with extenuating circumstances.",0.11904761904761904,0.012048192771084336,0.05952380952380952,0.003923944758257975,0.14516129032258068,0.06438248604536057
hybrid,A student has been sent a'shocking and utterly unacceptable data breach' to more than 298 undergraduates who have sought support.,0.25641025641025644,0.0,0.20512820512820512,0.01715966518643024,0.10989010989010987,0.26863300800323486
abstractive,"A student has been sent a spreadsheet of details of 42 students with extenuating circumstances, a university has said.",0.3243243243243243,0.11428571428571428,0.21621621621621623,0.04089148102978526,0.2823818293431553,0.3029041886329651
extractive,"However, the gender balance at physics A-level in England's schools has changed little in decades, with only 20% being female. ""Women in physics are still in the minority, and this lack of visibility preserves the myth and cements the fact that physics is simply not a subject for girls."" Skills gap The lack of girls studying physics to a higher level also had consequences for the UK economy, the report said. A recent study found that closing the gender gap in physics would take hundreds of years, given the current rate of progress.",0.25210084033613445,0.05128205128205127,0.16806722689075632,0.011268748231290511,0.2,0.2270471155643463
hybrid,"A study has found that the gender gap at physics is still a problem in England, with only 20% being female.",0.35555555555555557,0.0,0.13333333333333333,0.01851233365914895,0.15350877192982457,0.2840665280818939
abstractive,"The gender gap at physics A-level in England's schools has risen to a new level, according to the IoP.",0.5333333333333333,0.18604651162790697,0.35555555555555557,0.04359962328001735,0.2583852288867038,0.3429771363735199
extractive,"MPs should ""take a lesson"" from European solidarity, he said. ""But my personal view is if the politicians can't get their act together and get to an agreement the only other option is to go back to the people and have a second referendum to see whether people still feel the same way now that they did almost three years ago and resolve it that way. In a thinly veiled warning to MPs he said: ""It's astonishing that 27 European countries can agree on things a lot more readily than, frankly, our politicians. Sincere cross-party collaboration must happen now to end this crisis."" 'Frustration' Other business organisations also expressed their impatience with the failure to reach a Brexit agreement. ""This extension buys Parliament some time to come to a consensus, but they can't afford to squander it.",0.2807017543859649,0.16568047337278108,0.21052631578947367,0.048854075200844393,0.2435748110488595,0.2922047972679138
